date,equity,equity_normalized,equity_change_pct
2022-08-04,92581.13885,92.58113885,-7.41886115
2022-08-05,93173.78165,93.17378165000001,-6.826218349999991
2022-08-08,93767.74671,93.76774671000001,-6.232253289999989
2022-08-09,93771.88301,93.77188301,-6.228116989999998
2022-08-10,95059.41328000001,95.05941328,-4.940586719999995
2022-08-11,95685.14953,95.68514952999999,-4.3148504700000085
2022-08-12,97053.01716,97.05301716,-2.946982840000001
2022-08-15,97043.95008,97.04395008,-2.9560499200000034
2022-08-16,97381.17094,97.38117093999999,-2.6188290600000053
2022-08-17,97050.07693,97.05007692999999,-2.9499230700000045
2022-08-18,97490.91806,97.49091806,-2.509081940000002
2022-08-19,96374.85907,96.37485907000001,-3.6251409299999926
2022-08-22,95146.55965,95.14655965,-4.853440350000005
2022-08-23,94869.59476,94.86959476000001,-5.130405239999991
2022-08-24,95181.04847,95.18104847,-4.818951530000004
2022-08-25,96205.80361,96.20580361,-3.794196389999993
2022-08-26,94249.10226,94.24910226,-5.7508977400000045
2022-08-29,93832.92247,93.83292247,-6.1670775299999985
2022-08-30,92187.42833,92.18742833,-7.812571670000001
2022-08-31,91568.96229,91.56896229,-8.43103771
2022-09-01,91138.2228,91.13822280000001,-8.861777199999999
2022-09-02,90784.51195,90.78451195,-9.215488049999998
2022-09-05,90791.92195,90.79192195,-9.208078050000001
2022-09-06,90725.25451,90.72525451,-9.274745490000003
2022-09-07,91670.0273,91.6700273,-8.329972699999999
2022-09-08,92023.5951,92.02359510000001,-7.97640489999999
2022-09-09,93218.1131,93.2181131,-6.7818869
2022-09-12,93877.47556,93.87747556000001,-6.122524439999999
2022-09-13,91259.06757,91.25906757,-8.740932430000004
2022-09-14,91323.58818,91.32358818,-8.676411819999997
2022-09-15,90252.38932,90.25238932,-9.747610679999996
2022-09-16,89335.72223,89.33572223,-10.664277769999996
2022-09-19,90073.95837000001,90.07395837000001,-9.926041629999993
2022-09-20,88832.76412,88.83276412000001,-11.167235879999993
2022-09-21,87911.50162,87.91150162,-12.08849838
2022-09-22,86638.64139,86.63864139,-13.361358609999996
2022-09-23,84570.73358,84.57073358,-15.429266419999998
2022-09-26,82997.20419,82.99720419,-17.002795809999995
2022-09-27,82829.19519,82.82919519,-17.170804810000007
2022-09-28,84926.74855,84.92674855000001,-15.073251449999992
2022-09-29,83465.8135,83.46581350000001,-16.534186499999993
2022-09-30,83335.89479,83.33589479000001,-16.664105209999992
2022-10-03,85802.61685,85.80261685,-14.197383149999999
2022-10-04,88112.86546,88.11286546,-11.88713454
2022-10-05,87390.86832,87.39086832,-12.609131680000008
2022-10-06,86548.6403,86.5486403,-13.451359699999998
2022-10-07,84903.56156,84.90356156000001,-15.096438439999993
2022-10-10,84843.34135,84.84334135,-15.156658649999999
2022-10-11,84790.99011,84.79099011,-15.209009890000003
2022-10-12,84244.66074,84.24466074000001,-15.755339259999989
2022-10-13,86442.62099,86.44262099,-13.557379010000004
2022-10-14,84301.33028,84.30133028,-15.698669720000002
2022-10-17,86140.2198,86.14021980000001,-13.859780199999994
2022-10-18,87156.75365,87.15675365,-12.843246350000005
2022-10-19,86499.75588,86.49975588,-13.500244120000005
2022-10-20,85630.46136,85.63046136,-14.369538640000002
2022-10-21,87116.45978,87.11645978,-12.88354022
2022-10-24,87653.24367,87.65324367,-12.346756330000009
2022-10-25,89233.56327,89.23356326999999,-10.766436730000006
2022-10-26,89377.02394,89.37702394,-10.62297606
2022-10-27,89189.84053,89.18984053,-10.810159470000002
2022-10-28,90485.38651,90.48538651,-9.514613490000002
2022-10-31,90403.24037,90.40324037,-9.596759629999996
2022-11-01,90487.87256,90.48787256,-9.512127439999995
2022-11-02,88538.81541,88.53881541,-11.461184590000006
2022-11-03,88413.74726,88.41374726000001,-11.586252739999992
2022-11-04,89185.1122,89.1851122,-10.814887799999994
2022-11-07,89760.15931,89.76015930999999,-10.239840690000001
2022-11-08,89950.75455,89.95075455,-10.049245449999999
2022-11-09,88307.63874,88.30763873999999,-11.692361260000006
2022-11-10,92199.95256,92.19995256000001,-7.800047439999991
2022-11-11,91592.80365,91.59280365,-8.407196350000001
2022-11-14,90929.42559,90.92942559000001,-9.070574409999999
2022-11-15,91599.91774,91.59991774000001,-8.400082259999998
2022-11-16,90902.5667,90.9025667,-9.097433300000002
2022-11-17,90559.97103,90.55997103,-9.440028970000004
2022-11-18,91095.37423,91.09537423,-8.904625769999996
2022-11-21,91281.1676,91.2811676,-8.718832399999998
2022-11-22,92209.36177,92.20936177,-7.7906382300000026
2022-11-23,92335.04267,92.33504267,-7.66495733
2022-11-24,92348.27267,92.34827267000001,-7.651727329999991
