date,equity
2023-04-06,113412.628794
2023-04-10,114144.434694
2023-04-11,114734.305004
2023-04-12,114190.042764
2023-04-13,114887.158354
2023-04-14,114348.550644
2023-04-17,114838.47831399999
2023-04-18,114503.158684
2023-04-19,114522.501194
2023-04-20,114001.587974
2023-04-21,113837.399554
2023-04-24,113830.374394
2023-04-25,112191.239284
2023-04-26,111651.772234
2023-04-27,112612.247264
2023-04-28,113276.524094
2023-05-01,113186.477654
2023-05-02,111779.508564
2023-05-03,111630.584294
2023-05-04,110844.043234
2023-05-05,112436.955684
2023-05-08,112293.942664
2023-05-09,112034.097424
2023-05-10,112155.388524
2023-05-11,111590.625694
2023-05-12,111515.649294
2023-05-15,112290.710084
2023-05-16,111322.590884
2023-05-17,112891.011474
2023-05-18,113455.154664
2023-05-19,113086.839074
2023-05-22,113654.232554
2023-05-23,113312.397504
2023-05-24,112337.381394
2023-05-25,111985.988884
2023-05-26,112910.083954
2023-05-30,112695.615404
2023-05-31,111950.284134
2023-06-01,112665.899984
2023-06-02,114773.061324
2023-06-05,113871.260334
2023-06-06,115642.208204
2023-06-07,117063.571034
2023-06-08,116778.680084
2023-06-09,116197.052464
2023-06-12,116408.956414
2023-06-13,117178.200064
2023-06-14,116416.503054
2023-06-15,117039.563614
2023-06-16,116718.229254
2023-06-19,116718.219254
2023-06-20,116121.215014
2023-06-21,116089.378354
2023-06-22,115489.039444
2023-06-23,114521.729234
2023-06-26,115135.547364
2023-06-27,116160.270344
2023-06-28,116086.640844
2023-06-29,117167.598734
2023-06-30,117619.803054
2023-07-03,118202.880664
2023-07-04,117951.020664
2023-07-05,117062.530354
2023-07-06,116059.365464
2023-07-07,116849.863634
2023-07-10,117591.422854
2023-07-11,118321.109284
2023-07-12,119151.005314
2023-07-13,119804.294664
2023-07-14,118822.792164
2023-07-17,119250.633934
2023-07-18,120186.214164
2023-07-19,120680.737824
2023-07-20,120175.283794
2023-07-21,120050.659004
2023-07-24,120377.345324
2023-07-25,120443.030204
2023-07-26,120928.669804
2023-07-27,120011.676194
2023-07-28,120771.555924
2023-07-31,121336.641824
2023-08-01,120989.585344
2023-08-02,119855.457584
2023-08-03,119661.782504
2023-08-04,119690.882094
2023-08-07,119822.300164
2023-08-08,119465.324254
2023-08-09,119045.618524
2023-08-10,118836.207754
2023-08-11,118798.350834
2023-08-14,118593.855144
2023-08-15,117439.127994
2023-08-16,116656.499464
2023-08-17,116162.807944
2023-08-18,116391.422664
2023-08-21,116252.333084
2023-08-22,116022.037204
2023-08-23,116826.506104
2023-08-24,116032.762924
2023-08-25,116139.260464
2023-08-28,116809.083904
2023-08-29,117767.127824
2023-08-30,117981.645624
2023-08-31,117741.386004
2023-09-01,118259.442434
2023-09-04,118045.942434
2023-09-05,116412.315404
2023-09-06,116000.706094
2023-09-07,115144.740114
2023-09-08,115034.705914
2023-09-11,115152.073844
2023-09-12,115286.322894
2023-09-13,114999.985764
2023-09-14,116133.579804
2023-09-15,115489.637744
2023-09-18,115093.366994
2023-09-19,114976.906344
2023-09-20,114681.554464
2023-09-21,113656.063804
2023-09-22,113481.848744
2023-09-25,113679.462764
2023-09-26,112522.911894
2023-09-27,112850.851904
2023-09-28,113417.707364
2023-09-29,113304.481114
2023-10-02,112233.851764
2023-10-03,110848.070994
2023-10-04,111006.336184
2023-10-05,110924.515994
2023-10-06,111350.191994
